event_id,stations,ref_time,ref_duration,ref_amplitude,known_seismicity_labels
20101218T111036Z,"['2C.BB15.', '2C.BB07.', '2C.BB08.', '2C.BB13.']",2010-12-18T11:10:36.687027Z,72.115947,639.4876553,
20101218T112720Z,"['2C.BB10.', '2C.BB07.', '2C.BB08.']",2010-12-18T11:27:20.937027Z,21.510947,487.8196394,
20101218T114507Z,"['2C.BB17.', '2C.BB13.', '2C.BB10.', '2C.BB12.']",2010-12-18T11:45:07.397027Z,64.205947,812.3552631,
20101218T115335Z,"['2C.BB13.', '2C.BB01.', '2C.BB07.', '2C.BB12.']",2010-12-18T11:53:35.092026Z,30.935947,450.0565593,
20101218T120834Z,"['2C.BB15.', '2C.BB07.', '2C.BB12.']",2010-12-18T12:08:34.782027Z,7.205947,441.4642603,
20101218T121017Z,"['2C.BB10.', '2C.BB15.', '2C.BB07.']",2010-12-18T12:10:17.212973Z,26.545,956.5893058,
20101218T122704Z,"['2C.BB01.', '2C.BB10.', '2C.BB07.', '2C.BB13.']",2010-12-18T12:27:04.067973Z,18.21,633.5635848,
20101218T124716Z,"['2C.BB06.', '2C.BB07.', '2C.BB01.']",2010-12-18T12:47:16.917027Z,17.825947,378.3311295,
20101218T125446Z,"['2C.BB07.', '2C.BB12.', '2C.BB01.']",2010-12-18T12:54:46.352026Z,7.290947,554.7901854,
20101218T125820Z,"['2C.BB08.', '2C.BB12.', '2C.BB13.', '2C.BB17.', '2C.BB01.', '2C.BB07.', '2C.BB10.', '2C.BB11.', '2C.BB16.', '2C.BB15.', '2C.BB06.', '2C.BB03.', '2C.BB04.', '2C.BB14.']",2010-12-18T12:58:20.772026Z,1008.215947,44350.9492,"STICK-SLIP, PRATT14"
20101218T131722Z,"['2C.BB10.', '2C.BB03.', '2C.BB01.', '2C.BB12.']",2010-12-18T13:17:22.187027Z,44.895947,9645.278365,
20101218T131947Z,"['2C.BB03.', '2C.BB12.', '2C.BB15.']",2010-12-18T13:19:47.072026Z,49.340947,5431.453979,
20101218T133416Z,"['2C.BB06.', '2C.BB07.', '2C.BB12.']",2010-12-18T13:34:16.357027Z,49.340947,788.5284545,
20101218T151102Z,"['2C.BB15.', '2C.BB01.', '2C.BB13.']",2010-12-18T15:11:02.672973Z,12.125,526.3560193,
20101218T151419Z,"['2C.BB01.', '2C.BB13.', '2C.BB07.']",2010-12-18T15:14:19.217027Z,11.710947,1028.821842,
20101218T154345Z,"['2C.BB12.', '2C.BB13.', '2C.BB15.', '2C.BB01.']",2010-12-18T15:43:45.057027Z,143.280947,2411.540374,
20101218T155307Z,"['2C.BB01.', '2C.BB13.', '2C.BB15.']",2010-12-18T15:53:07.797026Z,1.940947,416.1430263,
20101218T164537Z,"['2C.BB15.', '2C.BB01.', '2C.BB07.']",2010-12-18T16:45:37.742973Z,20.795,479.6741963,
