event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101218T062605Z,"['2C.BB14.', '2C.BB17.', '2C.BB10.']",5.86594680276,2010-12-18T06:26:05.127973Z,0.675,152.732166983,4862.41985294,amplitude
20101218T064321Z,"['2C.BB17.', '2C.BB07.', '2C.BB10.']",5.86594680276,2010-12-18T06:43:21.007973Z,2.88,404.054443054,143098.67881,amplitude
20101218T073434Z,"['2C.BB07.', '2C.BB17.', '2C.BB12.']",5.86594680276,2010-12-18T07:34:34.517026Z,7.460947,415.82518014,435677.811901,amplitude
20101218T081325Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.', '2C.BB17.', '2C.BB16.', '2C.BB10.']",5.86594680276,2010-12-18T08:13:25.367973Z,47.685,1915.53521758,70592467.9497,amplitude
20101218T083652Z,"['2C.BB10.', '2C.BB17.', '2C.BB07.', '2C.BB06.', '2C.BB12.']",5.86594680276,2010-12-18T08:36:52.227027Z,216.500947,2735.43712228,352116274.871,amplitude
20101218T091606Z,"['2C.BB12.', '2C.BB07.', '2C.BB13.', '2C.BB10.']",5.86594680276,2010-12-18T09:16:06.612026Z,83.690947,1158.6338594,26714646.4992,amplitude
20101218T095051Z,"['2C.BB15.', '2C.BB10.', '2C.BB13.', '2C.BB07.', '2C.BB17.', '2C.BB12.']",5.86594680276,2010-12-18T09:50:51.787973Z,778.2,2161.68371796,685898952.221,amplitude
20101218T100955Z,"['2C.BB07.', '2C.BB13.', '2C.BB10.', '2C.BB15.', '2C.BB12.']",5.86594680276,2010-12-18T10:09:55.052973Z,104.325,1447.99690958,31800877.6494,amplitude
20101218T101648Z,"['2C.BB07.', '2C.BB10.', '2C.BB15.']",5.86594680276,2010-12-18T10:16:48.482027Z,44.860947,714.181278549,6534589.20509,amplitude
20101218T103013Z,"['2C.BB15.', '2C.BB08.', '2C.BB10.']",5.86594680276,2010-12-18T10:30:13.272973Z,1.58,215.358492698,23907.8522713,amplitude
20101218T103406Z,"['2C.BB10.', '2C.BB07.', '2C.BB13.', '2C.BB15.', '2C.BB01.']",5.86594680276,2010-12-18T10:34:06.447027Z,278.890947,2759.82449818,503988253.211,amplitude
20101218T110253Z,"['2C.BB08.', '2C.BB10.', '2C.BB07.']",5.86594680276,2010-12-18T11:02:53.952027Z,5.635947,376.182471443,321263.829968,amplitude
20101218T111036Z,"['2C.BB15.', '2C.BB07.', '2C.BB08.', '2C.BB13.']",5.86594680276,2010-12-18T11:10:36.687027Z,72.115947,639.487655255,5925296.31184,amplitude
20101218T112720Z,"['2C.BB10.', '2C.BB07.', '2C.BB08.']",5.86594680276,2010-12-18T11:27:20.937027Z,21.510947,487.819639358,1233080.59119,amplitude
20101218T114507Z,"['2C.BB17.', '2C.BB13.', '2C.BB10.', '2C.BB12.']",5.86594680276,2010-12-18T11:45:07.397027Z,64.205947,812.355263065,12074840.9771,amplitude
20101218T115335Z,"['2C.BB13.', '2C.BB01.', '2C.BB07.', '2C.BB12.']",5.86594680276,2010-12-18T11:53:35.092026Z,30.935947,450.056559339,1540722.45191,amplitude
